policy,size,samples,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,passes_gate
SJF,small,157,0.0009917770700636943,0.000416,0.00325,0.000958,0.0016662,0.002414999999999999,True
SJF,medium,1340,0.0051920641791044775,0.000458,0.019583,0.005125,0.009794049999999999,0.0105,True
SJF,large,13832,0.05282400896471949,0.000459,0.430292,0.0511875,0.10125,0.12502829000000004,True
SRTF,small,256,0.0009035,0.000291,0.001917,0.000833,0.00146925,0.00179145,True
SRTF,medium,2052,0.005970991228070176,0.000292,0.229708,0.004875,0.011208,0.01175,True
SRTF,large,21247,0.058065240269214474,0.000459,0.391292,0.048208,0.118666,0.13608682000000008,True
Round Robin,small,634,0.0006254747634069401,0.000292,0.000916,0.000666,0.000791,0.000833,True
Round Robin,medium,4855,0.0032508760041194645,0.000333,0.067458,0.003542,0.004375,0.004667,True
Round Robin,large,48827,0.03282195867040777,0.000375,0.411916,0.036625,0.046542,0.057530339999999916,True
Priority,small,157,0.0009684331210191082,0.000416,0.002292,0.000917,0.001625,0.0018469999999999997,True
Priority,medium,1340,0.0059350097014925374,0.000417,0.023209,0.006167,0.010502099999999999,0.010984009999999995,True
Priority,large,13832,0.060616214864083286,0.000542,0.237917,0.06225,0.110167,0.12076596000000003,True
Priority RR,small,1197,0.0016715547201336676,0.000375,0.161,0.001666,0.002042,0.002125,True
Priority RR,medium,9049,0.010488120013261134,0.000458,1.299625,0.011541,0.013875,0.018188320000000018,True
Priority RR,large,90796,0.10465395912815542,0.0005,0.622542,0.117542,0.14925,0.17854310000000012,True
Adaptive,small,5,0.6409583999999999,0.154625,2.519125,0.163708,2.0561083999999994,2.4265216799999996,True
Adaptive,medium,5,0.6743836,0.642167,0.697292,0.672,0.6957836000000001,0.69699032,True
Adaptive,large,5,4.3405084,4.254375,4.486375,4.304,4.4626833999999995,4.481636679999999,True
